# Time t, Energy
0.000000e+00,3.154588e+00
4.040404e-03,3.154582e+00
8.080808e-03,3.154577e+00
1.212121e-02,3.154572e+00
1.616162e-02,3.154567e+00
2.020202e-02,3.154562e+00
2.424242e-02,3.154556e+00
2.828283e-02,3.154551e+00
3.232323e-02,3.154545e+00
3.636364e-02,3.154539e+00
4.040404e-02,3.154532e+00
4.444444e-02,3.154524e+00
4.848485e-02,3.154515e+00
5.252525e-02,3.154504e+00
5.656566e-02,3.154492e+00
6.060606e-02,3.154479e+00
6.464646e-02,3.154464e+00
6.868687e-02,3.154447e+00
7.272727e-02,3.154428e+00
7.676768e-02,3.154408e+00
8.080808e-02,3.154386e+00
8.484848e-02,3.154363e+00
8.888889e-02,3.154338e+00
9.292929e-02,3.154312e+00
9.696970e-02,3.154285e+00
1.010101e-01,3.154258e+00
1.050505e-01,3.154229e+00
1.090909e-01,3.154201e+00
1.131313e-01,3.154172e+00
1.171717e-01,3.154144e+00
1.212121e-01,3.154116e+00
1.252525e-01,3.154088e+00
1.292929e-01,3.154060e+00
1.333333e-01,3.154034e+00
1.373737e-01,3.154009e+00
1.414141e-01,3.153984e+00
1.454545e-01,3.153960e+00
1.494949e-01,3.153938e+00
1.535354e-01,3.153917e+00
1.575758e-01,3.153897e+00
1.616162e-01,3.153878e+00
1.656566e-01,3.153861e+00
1.696970e-01,3.153845e+00
1.737374e-01,3.153830e+00
1.777778e-01,3.153816e+00
1.818182e-01,3.153804e+00
1.858586e-01,3.153793e+00
1.898990e-01,3.153783e+00
1.939394e-01,3.153774e+00
1.979798e-01,3.153766e+00
2.020202e-01,3.153759e+00
2.060606e-01,3.153753e+00
2.101010e-01,3.153749e+00
2.141414e-01,3.153744e+00
2.181818e-01,3.153740e+00
2.222222e-01,3.153737e+00
2.262626e-01,3.153734e+00
2.303030e-01,3.153732e+00
2.343434e-01,3.153730e+00
2.383838e-01,3.153728e+00
2.424242e-01,3.153726e+00
2.464646e-01,3.153725e+00
2.505051e-01,3.153723e+00
2.545455e-01,3.153721e+00
2.585859e-01,3.153718e+00
2.626263e-01,3.153716e+00
2.666667e-01,3.153713e+00
2.707071e-01,3.153710e+00
2.747475e-01,3.153707e+00
2.787879e-01,3.153702e+00
2.828283e-01,3.153698e+00
2.868687e-01,3.153692e+00
2.909091e-01,3.153686e+00
2.949495e-01,3.153678e+00
2.989899e-01,3.153670e+00
3.030303e-01,3.153661e+00
3.070707e-01,3.153651e+00
3.111111e-01,3.153641e+00
3.151515e-01,3.153629e+00
3.191919e-01,3.153615e+00
3.232323e-01,3.153601e+00
3.272727e-01,3.153585e+00
3.313131e-01,3.153568e+00
3.353535e-01,3.153549e+00
3.393939e-01,3.153529e+00
3.434343e-01,3.153507e+00
3.474747e-01,3.153484e+00
3.515152e-01,3.153459e+00
3.555556e-01,3.153433e+00
3.595960e-01,3.153406e+00
3.636364e-01,3.153377e+00
3.676768e-01,3.153348e+00
3.717172e-01,3.153318e+00
3.757576e-01,3.153288e+00
3.797980e-01,3.153258e+00
3.838384e-01,3.153228e+00
3.878788e-01,3.153200e+00
3.919192e-01,3.153173e+00
3.959596e-01,3.153151e+00
4.000000e-01,3.153132e+00
