# Time t, Angular Momentum
0.000000e+00 9.770887e-02 9.770887e-02 0.000000e+00
4.040404e-03 9.766459e-02 9.766096e-02 3.632809e-06
8.080808e-03 9.762466e-02 9.761843e-02 6.227881e-06
1.212121e-02 9.758968e-02 9.758100e-02 8.682204e-06
1.616162e-02 9.755850e-02 9.754831e-02 1.018433e-05
2.020202e-02 9.753206e-02 9.752009e-02 1.196639e-05
2.424242e-02 9.750880e-02 9.749599e-02 1.281730e-05
2.828283e-02 9.749004e-02 9.747571e-02 1.433628e-05
3.232323e-02 9.747370e-02 9.745891e-02 1.478635e-05
3.636364e-02 9.746135e-02 9.744531e-02 1.603988e-05
4.040404e-02 9.745175e-02 9.743449e-02 1.726235e-05
4.444444e-02 9.744465e-02 9.742618e-02 1.847721e-05
4.848485e-02 9.744032e-02 9.742003e-02 2.029102e-05
5.252525e-02 9.743842e-02 9.741574e-02 2.268818e-05
5.656566e-02 9.743791e-02 9.741300e-02 2.490869e-05
6.060606e-02 9.743921e-02 9.741154e-02 2.767134e-05
6.464646e-02 9.744205e-02 9.741108e-02 3.096554e-05
6.868687e-02 9.744626e-02 9.741136e-02 3.489677e-05
7.272727e-02 9.745131e-02 9.741212e-02 3.919937e-05
7.676768e-02 9.745719e-02 9.741318e-02 4.399999e-05
8.080808e-02 9.746337e-02 9.741436e-02 4.901271e-05
8.484848e-02 9.746957e-02 9.741542e-02 5.414942e-05
8.888889e-02 9.747636e-02 9.741630e-02 6.005727e-05
9.292929e-02 9.748349e-02 9.741683e-02 6.666407e-05
9.696970e-02 9.748980e-02 9.741688e-02 7.292186e-05
1.010101e-01 9.749681e-02 9.741636e-02 8.045486e-05
1.050505e-01 9.750270e-02 9.741522e-02 8.747377e-05
1.090909e-01 9.750841e-02 9.741338e-02 9.502913e-05
1.131313e-01 9.751368e-02 9.741076e-02 1.029170e-04
1.171717e-01 9.751875e-02 9.740733e-02 1.114258e-04
1.212121e-01 9.752322e-02 9.740304e-02 1.201783e-04
1.252525e-01 9.752731e-02 9.739779e-02 1.295190e-04
1.292929e-01 9.753128e-02 9.739162e-02 1.396602e-04
1.333333e-01 9.753470e-02 9.738448e-02 1.502237e-04
1.373737e-01 9.753764e-02 9.737623e-02 1.614066e-04
1.414141e-01 9.754011e-02 9.736685e-02 1.732558e-04
1.454545e-01 9.754305e-02 9.735630e-02 1.867474e-04
1.494949e-01 9.754563e-02 9.734445e-02 2.011820e-04
1.535354e-01 9.754886e-02 9.733129e-02 2.175686e-04
1.575758e-01 9.755170e-02 9.731668e-02 2.350155e-04
1.616162e-01 9.755468e-02 9.730055e-02 2.541258e-04
1.656566e-01 9.755833e-02 9.728280e-02 2.755332e-04
1.696970e-01 9.756143e-02 9.726328e-02 2.981573e-04
1.737374e-01 9.756519e-02 9.724184e-02 3.233496e-04
1.777778e-01 9.756920e-02 9.721843e-02 3.507752e-04
1.818182e-01 9.757370e-02 9.719288e-02 3.808178e-04
1.858586e-01 9.757795e-02 9.716500e-02 4.129559e-04
1.898990e-01 9.758281e-02 9.713471e-02 4.481031e-04
1.939394e-01 9.758777e-02 9.710188e-02 4.858896e-04
1.979798e-01 9.759262e-02 9.706633e-02 5.262960e-04
2.020202e-01 9.759782e-02 9.702794e-02 5.698707e-04
2.060606e-01 9.760279e-02 9.698659e-02 6.162031e-04
2.101010e-01 9.760777e-02 9.694216e-02 6.656144e-04
2.141414e-01 9.761257e-02 9.689450e-02 7.180711e-04
2.181818e-01 9.761729e-02 9.684350e-02 7.737903e-04
2.222222e-01 9.762128e-02 9.678917e-02 8.321209e-04
2.262626e-01 9.762529e-02 9.673134e-02 8.939402e-04
2.303030e-01 9.762868e-02 9.666997e-02 9.587118e-04
2.343434e-01 9.763215e-02 9.660497e-02 1.027175e-03
2.383838e-01 9.763525e-02 9.653634e-02 1.098919e-03
2.424242e-01 9.763817e-02 9.646402e-02 1.174151e-03
2.464646e-01 9.764056e-02 9.638803e-02 1.252524e-03
2.505051e-01 9.764360e-02 9.630824e-02 1.335360e-03
2.545455e-01 9.764553e-02 9.622471e-02 1.420815e-03
2.585859e-01 9.764802e-02 9.613739e-02 1.510633e-03
2.626263e-01 9.765049e-02 9.604636e-02 1.604130e-03
2.666667e-01 9.765339e-02 9.595147e-02 1.701919e-03
2.707071e-01 9.765653e-02 9.585282e-02 1.803702e-03
2.747475e-01 9.766027e-02 9.575036e-02 1.909906e-03
2.787879e-01 9.766433e-02 9.564409e-02 2.020242e-03
2.828283e-01 9.766987e-02 9.553397e-02 2.135899e-03
2.868687e-01 9.767573e-02 9.542009e-02 2.255637e-03
2.909091e-01 9.768288e-02 9.530227e-02 2.380608e-03
2.949495e-01 9.769062e-02 9.518049e-02 2.510132e-03
2.989899e-01 9.769981e-02 9.505466e-02 2.645157e-03
3.030303e-01 9.771009e-02 9.492476e-02 2.785325e-03
3.070707e-01 9.772196e-02 9.479060e-02 2.931364e-03
3.111111e-01 9.773454e-02 9.465203e-02 3.082506e-03
