# Time t, Angular Momentum
0.000000e+00 2.356195e-01 0.000000e+00 2.356195e-01
4.040404e-03 2.356467e-01 5.529732e-05 2.355914e-01
8.080808e-03 2.356680e-01 1.531899e-04 2.355148e-01
1.212121e-02 2.356854e-01 2.948050e-04 2.353906e-01
1.616162e-02 2.356993e-01 4.808406e-04 2.352184e-01
2.020202e-02 2.357114e-01 7.117373e-04 2.349997e-01
2.424242e-02 2.357222e-01 9.878550e-04 2.347344e-01
2.828283e-02 2.357316e-01 1.309550e-03 2.344221e-01
3.232323e-02 2.357415e-01 1.676731e-03 2.340648e-01
3.636364e-02 2.357522e-01 2.089379e-03 2.336628e-01
4.040404e-02 2.357625e-01 2.547495e-03 2.332150e-01
4.444444e-02 2.357730e-01 3.050726e-03 2.327223e-01
4.848485e-02 2.357841e-01 3.599002e-03 2.321851e-01
5.252525e-02 2.357948e-01 4.192022e-03 2.316027e-01
5.656566e-02 2.358059e-01 4.829584e-03 2.309763e-01
6.060606e-02 2.358175e-01 5.511257e-03 2.303063e-01
6.464646e-02 2.358291e-01 6.236965e-03 2.295921e-01
6.868687e-02 2.358406e-01 7.006202e-03 2.288344e-01
7.272727e-02 2.358520e-01 7.818798e-03 2.280332e-01
7.676768e-02 2.358619e-01 8.674438e-03 2.271874e-01
8.080808e-02 2.358722e-01 9.572892e-03 2.262993e-01
8.484848e-02 2.358813e-01 1.051369e-02 2.253677e-01
8.888889e-02 2.358896e-01 1.149669e-02 2.243929e-01
9.292929e-02 2.358987e-01 1.252160e-02 2.233771e-01
9.696970e-02 2.359048e-01 1.358800e-02 2.223168e-01
1.010101e-01 2.359114e-01 1.469563e-02 2.212158e-01
1.050505e-01 2.359163e-01 1.584420e-02 2.200722e-01
1.090909e-01 2.359211e-01 1.703339e-02 2.188877e-01
1.131313e-01 2.359247e-01 1.826284e-02 2.176618e-01
1.171717e-01 2.359274e-01 1.953212e-02 2.163953e-01
1.212121e-01 2.359289e-01 2.084096e-02 2.150880e-01
1.252525e-01 2.359302e-01 2.218888e-02 2.137413e-01
1.292929e-01 2.359303e-01 2.357554e-02 2.123547e-01
1.333333e-01 2.359292e-01 2.500051e-02 2.109287e-01
1.373737e-01 2.359283e-01 2.646332e-02 2.094650e-01
1.414141e-01 2.359273e-01 2.796360e-02 2.079637e-01
1.454545e-01 2.359240e-01 2.950082e-02 2.064232e-01
1.494949e-01 2.359220e-01 3.107463e-02 2.048474e-01
1.535354e-01 2.359185e-01 3.268445e-02 2.032340e-01
1.575758e-01 2.359138e-01 3.432981e-02 2.015840e-01
1.616162e-01 2.359086e-01 3.601023e-02 1.998983e-01
1.656566e-01 2.359026e-01 3.772535e-02 1.981773e-01
1.696970e-01 2.358976e-01 3.947457e-02 1.964230e-01
1.737374e-01 2.358915e-01 4.125753e-02 1.946339e-01
1.777778e-01 2.358853e-01 4.307364e-02 1.928116e-01
1.818182e-01 2.358782e-01 4.492242e-02 1.909558e-01
1.858586e-01 2.358713e-01 4.680344e-02 1.890678e-01
1.898990e-01 2.358637e-01 4.871627e-02 1.871475e-01
1.939394e-01 2.358554e-01 5.066043e-02 1.851950e-01
1.979798e-01 2.358479e-01 5.263552e-02 1.832124e-01
2.020202e-01 2.358397e-01 5.464097e-02 1.811987e-01
2.060606e-01 2.358316e-01 5.667635e-02 1.791553e-01
2.101010e-01 2.358241e-01 5.874138e-02 1.770827e-01
2.141414e-01 2.358168e-01 6.083540e-02 1.749814e-01
2.181818e-01 2.358086e-01 6.295806e-02 1.728505e-01
2.222222e-01 2.358014e-01 6.510889e-02 1.706925e-01
2.262626e-01 2.357942e-01 6.728737e-02 1.685068e-01
2.303030e-01 2.357875e-01 6.949293e-02 1.662946e-01
2.343434e-01 2.357802e-01 7.172514e-02 1.640550e-01
2.383838e-01 2.357749e-01 7.398345e-02 1.617914e-01
2.424242e-01 2.357687e-01 7.626718e-02 1.595015e-01
2.464646e-01 2.357631e-01 7.857584e-02 1.571873e-01
2.505051e-01 2.357577e-01 8.090858e-02 1.548491e-01
2.545455e-01 2.357529e-01 8.326479e-02 1.524881e-01
2.585859e-01 2.357470e-01 8.564375e-02 1.501033e-01
2.626263e-01 2.357415e-01 8.804469e-02 1.476968e-01
2.666667e-01 2.357363e-01 9.046672e-02 1.452696e-01
2.707071e-01 2.357312e-01 9.290903e-02 1.428222e-01
2.747475e-01 2.357239e-01 9.537059e-02 1.403534e-01
2.787879e-01 2.357163e-01 9.785059e-02 1.378657e-01
2.828283e-01 2.357085e-01 1.003482e-01 1.353603e-01
2.868687e-01 2.356988e-01 1.028624e-01 1.328364e-01
2.909091e-01 2.356885e-01 1.053923e-01 1.302962e-01
2.949495e-01 2.356772e-01 1.079370e-01 1.277402e-01
2.989899e-01 2.356635e-01 1.104957e-01 1.251678e-01
3.030303e-01 2.356486e-01 1.130677e-01 1.225809e-01
3.070707e-01 2.356334e-01 1.156521e-01 1.199813e-01
3.111111e-01 2.356154e-01 1.182487e-01 1.173667e-01
3.151515e-01 2.355971e-01 1.208565e-01 1.147406e-01
3.191919e-01 2.355784e-01 1.234755e-01 1.121028e-01
3.232323e-01 2.355567e-01 1.261052e-01 1.094515e-01
3.272727e-01 2.355361e-01 1.287454e-01 1.067908e-01
3.313131e-01 2.355138e-01 1.313958e-01 1.041180e-01
3.353535e-01 2.354928e-01 1.340565e-01 1.014363e-01
3.393939e-01 2.354702e-01 1.367270e-01 9.874315e-02
3.434343e-01 2.354486e-01 1.394073e-01 9.604128e-02
3.474747e-01 2.354271e-01 1.420968e-01 9.333029e-02
3.515152e-01 2.354051e-01 1.447948e-01 9.061027e-02
3.555556e-01 2.353845e-01 1.475003e-01 8.788422e-02
3.595960e-01 2.353642e-01 1.502121e-01 8.515207e-02
3.636364e-01 2.353441e-01 1.529285e-01 8.241559e-02
3.676768e-01 2.353235e-01 1.556478e-01 7.967563e-02
3.717172e-01 2.353034e-01 1.583686e-01 7.693477e-02
3.757576e-01 2.352833e-01 1.610901e-01 7.419316e-02
3.797980e-01 2.352655e-01 1.638124e-01 7.145308e-02
3.838384e-01 2.352506e-01 1.665371e-01 6.871351e-02
3.878788e-01 2.352423e-01 1.692668e-01 6.597546e-02
3.919192e-01 2.352402e-01 1.720033e-01 6.323689e-02
3.959596e-01 2.352398e-01 1.747430e-01 6.049684e-02
